0x000002743164FAD0, 38087407115041328, 21701344, 21701372, 28, 1366x736 
0x000002743164FAD0, 38087407120396136, 21701849, 21701855, 6, 1366x736 
0x000002743164FAD0, 38087407125740200, 21702379, 21702384, 5, 1366x736 
0x000002743164FAD0, 38087407131085096, 21702923, 21702928, 5, 1366x736 
0x000002743164FAD0, 38087407136434184, 21703472, 21703476, 4, 1366x736 
0x000002743164FAD0, 38087407141774624, 21703997, 21704001, 4, 1366x736 
0x000002743164FAD0, 38087407147119672, 21704532, 21704538, 6, 1366x736 
0x000002743164FAD0, 38087407152472176, 21705089, 21705094, 5, 1366x736 
0x000002743164FAD0, 38087407157815384, 21705599, 21705603, 4, 1366x736 
0x000002743164FAD0, 38087407163171480, 21706140, 21706145, 5, 1366x736 
0x000002743164FAD0, 38087407168518400, 21706681, 21706686, 5, 1366x736 
0x000002743164FAD0, 38087407173866704, 21707214, 21707219, 5, 1366x736 
0x000002743164FAD0, 38087407179214232, 21707731, 21707736, 5, 1366x736 
0x000002743164FAD0, 38087407184558504, 21708270, 21708275, 5, 1366x736 
0x000002743164FAD0, 38087407189906664, 21708803, 21708808, 5, 1366x736 
0x000002743164FAD0, 38087407195244352, 21709330, 21709335, 5, 1366x736 
0x000002743164FAD0, 38087407200583560, 21709859, 21709864, 5, 1366x736 
0x000002743164FAD0, 38087407205926056, 21710413, 21710418, 5, 1366x736 
0x000002743164FAD0, 38087407211273712, 21710928, 21710934, 6, 1366x736 
0x000002743164FAD0, 38087407216613888, 21711459, 21711466, 7, 1366x736 
0x000002743164FAD0, 38087407221965352, 21712014, 21712019, 5, 1366x736 
0x000002743164FAD0, 38087407227316184, 21712526, 21712533, 7, 1366x736 
0x000002743164FAD0, 38087407232659320, 21713088, 21713094, 6, 1366x736 
0x000002743164FAD0, 38087407238009864, 21713636, 21713641, 5, 1366x736 
0x000002743164FAD0, 38087407243362632, 21714146, 21714151, 5, 1366x736 
0x000002743164FAD0, 38087407248715880, 21714674, 21714679, 5, 1366x736 
0x000002743164FAD0, 38087407254063928, 21715207, 21715213, 6, 1366x736 
0x000002743164FAD0, 38087407259421848, 21715776, 21715781, 5, 1366x736 
0x000002743164FAD0, 38087407264772160, 21716311, 21716316, 5, 1366x736 
0x000002743164FAD0, 38087407270112504, 21716836, 21716841, 5, 1366x736 
0x000002743164FAD0, 38087407275461448, 21717342, 21717347, 5, 1366x736 
0x000002743164FAD0, 38087407280804240, 21717891, 21717896, 5, 1366x736 
0x000002743164FAD0, 38087407286159872, 21718423, 21718428, 5, 1366x736 
0x000002743164FAD0, 38087407291511768, 21718974, 21718980, 6, 1366x736 
0x000002743164FAD0, 38087407296856984, 21719487, 21719492, 5, 1366x736 
0x000002743164FAD0, 38087407302199904, 21720023, 21720028, 5, 1366x736 
0x000002743164FAD0, 38087407307542792, 21720564, 21720568, 4, 1366x736 
0x000002743164FAD0, 38087407312896088, 21721104, 21721111, 7, 1366x736 
0x000002743164FAD0, 38087407318247424, 21721621, 21721628, 7, 1366x736 
0x000002743164FAD0, 38087407323587992, 21722179, 21722184, 5, 1366x736 
0x000002743164FAD0, 38087407328936408, 21722727, 21722732, 5, 1366x736 
0x000002743164FAD0, 38087407334275856, 21723283, 21723290, 7, 1366x736 
0x000002743164FAD0, 38087407339627712, 21723773, 21723778, 5, 1366x736 
0x000002743164FAD0, 38087407344973952, 21724323, 21724328, 5, 1366x736 
0x000002743164FAD0, 38087407350323976, 21724854, 21724860, 6, 1366x736 
0x000002743164FAD0, 38087407355671552, 21725399, 21725405, 6, 1366x736 
0x000002743164FAD0, 38087407361020784, 21725903, 21725911, 8, 1366x736 
0x000002743164FAD0, 38087407366367792, 21726436, 21726441, 5, 1366x736 
0x000002743164FAD0, 38087407371717240, 21726968, 21726975, 7, 1366x736 
0x000002743164FAD0, 38087407377065712, 21727521, 21727526, 5, 1366x736 
0x000002743164FAD0, 38087407382409856, 21728056, 21728061, 5, 1366x736 
